Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Lifetime Value,Seasonality Score,Cluster,Purchase Target
20,66,1,Pants,1,90,Rhode Island,1,Green,2,3.3,1,Venmo,Standard,Yes,Yes,46,Debit Card,30.0,4140,21.0,0,0
21,21,1,Pants,1,51,Louisiana,1,Black,3,2.8,1,Credit Card,Express,Yes,Yes,50,Cash,30.0,2550,21.0,1,0
22,31,1,Pants,1,62,North Carolina,1,Charcoal,3,4.1,1,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,30.0,1364,21.0,1,0
23,56,1,Pants,1,37,California,1,Peach,2,3.2,1,Cash,Store Pickup,Yes,Yes,32,Debit Card,365.0,1184,730.0,2,0
24,31,1,Pants,1,88,Oklahoma,3,White,3,4.4,1,Credit Card,Express,Yes,Yes,40,Credit Card,7.0,3520,21.0,0,0
25,18,1,Jacket,3,22,Florida,1,Green,0,2.9,1,Cash,Store Pickup,Yes,Yes,16,Debit Card,7.0,352,0.0,1,0
26,18,1,Hoodie,1,25,Texas,1,Silver,2,3.6,1,Bank Transfer,Express,Yes,Yes,14,PayPal,365.0,350,730.0,2,0
27,38,1,Jewelry,0,20,Nevada,1,Red,1,3.6,1,Cash,Next Day Air,Yes,Yes,13,Credit Card,365.0,260,365.0,2,0
28,56,1,Shorts,1,56,Kentucky,0,Cyan,2,5.0,1,Debit Card,Next Day Air,Yes,Yes,7,Bank Transfer,30.0,392,21.0,1,0
29,54,1,Handbag,0,94,North Carolina,1,Gray,0,4.4,1,Debit Card,Free Shipping,Yes,Yes,41,PayPal,30.0,3854,21.0,0,0
30,31,1,Dress,1,48,Wyoming,2,Black,0,4.1,1,Venmo,Store Pickup,Yes,Yes,14,Credit Card,7.0,672,0.0,1,0
31,57,1,Jewelry,0,31,North Carolina,0,Black,3,4.7,1,Bank Transfer,Standard,Yes,Yes,16,Credit Card,30.0,496,90.0,1,0
32,33,1,Dress,1,79,West Virginia,0,Brown,3,4.7,1,Venmo,Store Pickup,Yes,Yes,45,Venmo,30.0,3555,90.0,0,0
33,36,1,Jacket,3,67,Kansas,1,Silver,2,4.9,1,Bank Transfer,Free Shipping,Yes,Yes,37,Venmo,365.0,2479,730.0,2,0
34,54,1,Pants,1,38,Colorado,0,Green,2,3.3,1,Venmo,Store Pickup,Yes,Yes,45,Cash,30.0,1710,21.0,1,0
35,36,1,T-shirt,1,91,North Dakota,0,Violet,1,4.6,1,Debit Card,2-Day Shipping,Yes,Yes,38,PayPal,30.0,3458,21.0,0,0
36,54,1,Blouse,1,33,Massachusetts,1,Cyan,2,4.0,1,Bank Transfer,2-Day Shipping,Yes,Yes,48,Credit Card,30.0,1584,21.0,1,1
37,35,1,T-shirt,1,69,Illinois,1,Maroon,3,4.6,1,Cash,Free Shipping,Yes,Yes,44,PayPal,14.0,3036,42.0,0,0
38,35,1,Jeans,1,45,Indiana,2,Cyan,2,2.8,1,Debit Card,Store Pickup,Yes,Yes,10,PayPal,7.0,450,14.0,1,0
39,29,1,Dress,1,37,Florida,1,Red,3,3.7,1,Debit Card,2-Day Shipping,Yes,Yes,44,Venmo,30.0,1628,21.0,1,0
40,70,1,Pants,1,60,Arizona,2,Turquoise,2,4.2,1,Bank Transfer,Express,Yes,Yes,18,Credit Card,30.0,1080,60.0,1,0
41,69,1,Handbag,0,76,Louisiana,0,Beige,3,4.6,1,PayPal,Next Day Air,Yes,Yes,31,Debit Card,30.0,2356,21.0,1,0
42,67,1,Scarf,0,39,Alaska,1,Orange,1,4.5,1,Cash,Standard,Yes,Yes,40,Venmo,365.0,1560,365.0,2,0
43,20,1,Coat,3,100,Tennessee,1,Beige,1,4.1,1,Bank Transfer,Free Shipping,Yes,Yes,15,PayPal,365.0,1500,365.0,2,0
44,25,1,Scarf,0,69,Ohio,0,Lavender,0,3.7,1,PayPal,Store Pickup,Yes,Yes,19,PayPal,14.0,1311,0.0,1,0
45,39,1,Hat,0,53,Kentucky,2,Silver,2,4.6,1,Bank Transfer,Free Shipping,Yes,Yes,45,PayPal,7.0,2385,14.0,1,0
46,50,1,Socks,1,21,Tennessee,3,Indigo,0,2.9,1,Venmo,2-Day Shipping,Yes,Yes,25,PayPal,365.0,525,0.0,1,0
47,57,1,Shirt,1,43,California,0,White,2,2.9,1,Venmo,Store Pickup,Yes,Yes,45,Cash,30.0,1935,21.0,1,0
48,55,1,Jewelry,0,54,Montana,1,Charcoal,3,4.5,1,Debit Card,Free Shipping,Yes,Yes,36,Cash,7.0,1944,21.0,1,0
49,42,1,Shirt,1,55,Nevada,1,Orange,2,2.7,1,Debit Card,Store Pickup,Yes,Yes,38,Cash,30.0,2090,60.0,1,0
50,68,1,Hoodie,1,30,New Jersey,2,Indigo,1,4.6,1,Bank Transfer,Next Day Air,Yes,Yes,34,Debit Card,30.0,1020,21.0,1,0
51,49,1,Blouse,1,28,Maryland,1,Red,1,3.7,1,Cash,Store Pickup,Yes,Yes,39,Debit Card,30.0,1092,21.0,1,1
52,59,1,Skirt,1,59,Vermont,3,Gray,3,4.7,1,PayPal,2-Day Shipping,Yes,Yes,7,Credit Card,30.0,413,21.0,1,0
53,42,1,T-shirt,1,20,Alaska,1,Green,2,2.6,1,Credit Card,Free Shipping,Yes,Yes,26,Credit Card,7.0,520,14.0,1,0
54,29,1,Skirt,1,24,Mississippi,2,Peach,3,3.9,1,Debit Card,Next Day Air,Yes,Yes,35,Credit Card,7.0,840,21.0,1,0
55,47,1,Coat,3,94,New Mexico,1,Brown,2,4.2,1,Bank Transfer,Next Day Air,Yes,Yes,35,Debit Card,30.0,3290,21.0,0,0
56,40,1,Jacket,3,28,South Carolina,1,Lavender,3,3.0,1,Venmo,2-Day Shipping,Yes,Yes,49,Credit Card,365.0,1372,1095.0,2,0
57,41,1,Backpack,0,73,Mississippi,3,Brown,2,4.7,1,PayPal,Store Pickup,Yes,Yes,46,Credit Card,7.0,3358,14.0,0,0
58,21,1,Coat,3,64,West Virginia,1,White,2,4.4,1,PayPal,Store Pickup,Yes,Yes,17,Debit Card,14.0,1088,28.0,1,0
59,69,1,Hoodie,1,54,Missouri,1,Charcoal,2,4.2,1,Credit Card,Free Shipping,Yes,Yes,29,Venmo,30.0,1566,60.0,1,0
60,63,1,Belt,0,79,Louisiana,0,Yellow,1,4.6,1,Debit Card,Standard,Yes,Yes,4,Debit Card,7.0,316,7.0,1,0
61,50,1,Sweater,1,37,Idaho,0,Brown,2,4.0,1,Credit Card,Express,Yes,Yes,17,Cash,7.0,629,14.0,1,0
62,55,1,Scarf,0,68,Texas,1,Orange,3,4.7,1,Bank Transfer,Store Pickup,Yes,Yes,21,Credit Card,30.0,1428,21.0,1,0
63,30,1,Sneakers,2,21,Mississippi,2,Magenta,1,3.8,1,Credit Card,Free Shipping,Yes,Yes,31,Credit Card,14.0,651,14.0,1,0
64,33,1,Sunglasses,0,79,Arizona,0,Lavender,3,2.7,1,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,7.0,3397,21.0,0,0
65,65,1,Boots,2,83,Alabama,2,Green,0,4.8,1,PayPal,Standard,Yes,Yes,18,Debit Card,14.0,1494,0.0,1,0
66,65,1,Backpack,0,36,New Jersey,1,Purple,1,4.8,1,Credit Card,2-Day Shipping,Yes,Yes,44,Venmo,30.0,1584,21.0,1,0
67,31,1,Blouse,1,94,Pennsylvania,2,Magenta,3,4.7,1,Bank Transfer,2-Day Shipping,Yes,Yes,3,Venmo,30.0,282,21.0,1,1
68,45,1,Coat,3,33,Connecticut,0,Gray,3,4.4,1,PayPal,Store Pickup,Yes,Yes,49,Debit Card,30.0,1617,90.0,1,0
69,57,1,Handbag,0,46,Utah,0,Silver,2,3.9,1,Credit Card,Next Day Air,Yes,Yes,21,Cash,30.0,966,21.0,1,0
70,48,1,Belt,0,70,Tennessee,2,Cyan,2,4.4,1,Credit Card,Express,Yes,Yes,5,Cash,7.0,350,14.0,1,0
71,22,1,Belt,0,29,Alabama,1,Magenta,0,4.2,1,Credit Card,Express,Yes,Yes,32,Debit Card,30.0,928,21.0,1,0
72,36,1,Dress,1,48,Virginia,0,Gold,2,2.9,1,Debit Card,Express,Yes,Yes,34,Bank Transfer,365.0,1632,730.0,2,0
73,18,1,Dress,1,26,Georgia,1,Olive,3,2.9,1,Debit Card,Store Pickup,Yes,Yes,21,Bank Transfer,30.0,546,21.0,1,0
74,48,1,Pants,1,85,Hawaii,1,Teal,1,2.7,1,Debit Card,Free Shipping,Yes,Yes,43,Bank Transfer,30.0,3655,21.0,0,0
75,49,1,Gloves,0,58,Indiana,0,Violet,1,4.5,1,PayPal,Express,Yes,Yes,3,Cash,30.0,174,30.0,1,0
76,64,1,Scarf,0,85,Utah,1,Blue,2,2.7,1,Debit Card,Free Shipping,Yes,Yes,21,Credit Card,365.0,1785,730.0,2,0
77,50,1,Hat,0,43,Delaware,2,Teal,2,4.2,1,Bank Transfer,Free Shipping,Yes,Yes,32,Venmo,30.0,1376,60.0,1,0
78,22,1,Dress,1,53,Delaware,0,Gold,2,3.3,1,Debit Card,Next Day Air,Yes,Yes,36,Debit Card,14.0,1908,28.0,1,0
79,50,1,Skirt,1,91,Nebraska,1,Maroon,1,4.7,1,Venmo,Free Shipping,Yes,Yes,50,Venmo,14.0,4550,14.0,0,0
80,38,1,Jacket,3,96,Iowa,1,Olive,3,2.6,1,Bank Transfer,2-Day Shipping,Yes,Yes,43,Bank Transfer,30.0,4128,21.0,0,0
81,19,1,Sandals,2,72,New York,3,Blue,2,3.3,1,Credit Card,Store Pickup,Yes,Yes,24,Credit Card,30.0,1728,21.0,1,0
82,67,1,Shoes,2,96,Virginia,0,Maroon,2,2.6,1,PayPal,Express,Yes,Yes,36,Credit Card,30.0,3456,21.0,0,0
83,19,1,Pants,1,28,Georgia,2,Olive,1,4.0,1,Bank Transfer,2-Day Shipping,Yes,Yes,21,Credit Card,30.0,588,21.0,1,0
84,36,1,Dress,1,40,Texas,1,Turquoise,2,4.1,1,Debit Card,Standard,Yes,Yes,34,Bank Transfer,7.0,1360,14.0,1,0
85,52,1,Coat,3,32,Arizona,2,Peach,1,4.4,1,Cash,Standard,Yes,Yes,42,Bank Transfer,30.0,1344,21.0,1,0
86,53,1,Sunglasses,0,95,New Mexico,1,Charcoal,3,4.5,1,Credit Card,Next Day Air,Yes,Yes,2,Debit Card,30.0,190,21.0,1,0
87,24,1,Hoodie,1,41,Nevada,0,Pink,1,3.7,1,Venmo,2-Day Shipping,Yes,Yes,47,Cash,30.0,1927,21.0,1,0
88,52,1,Shoes,2,53,Ohio,1,Green,0,3.7,1,Debit Card,2-Day Shipping,Yes,Yes,44,Debit Card,14.0,2332,0.0,1,0
89,33,1,T-shirt,1,47,Wyoming,1,Orange,0,3.5,1,Credit Card,Free Shipping,Yes,Yes,35,Credit Card,30.0,1645,0.0,1,0
90,47,1,Jacket,3,83,California,3,Pink,0,3.6,1,Bank Transfer,Next Day Air,Yes,Yes,15,Cash,30.0,1245,21.0,1,0
91,25,1,Hat,0,48,South Carolina,0,Violet,2,2.9,1,Venmo,Express,Yes,Yes,29,Credit Card,30.0,1392,60.0,1,0
92,44,1,Scarf,0,99,South Carolina,2,Green,3,4.6,1,PayPal,Standard,Yes,Yes,18,Credit Card,30.0,1782,21.0,1,0
93,61,1,Jacket,3,87,Texas,1,Olive,3,4.4,1,Cash,2-Day Shipping,Yes,Yes,13,Venmo,30.0,1131,21.0,1,0
94,37,1,Sweater,1,62,Florida,1,Purple,0,4.5,1,PayPal,Standard,Yes,Yes,46,Credit Card,7.0,2852,0.0,1,0
95,58,1,Skirt,1,76,Nevada,2,Silver,1,4.6,1,Bank Transfer,Free Shipping,Yes,Yes,28,Credit Card,7.0,2128,7.0,1,0
96,37,1,Sneakers,2,100,Missouri,0,Pink,0,3.8,1,PayPal,Free Shipping,Yes,Yes,48,PayPal,30.0,4800,0.0,0,0
97,32,1,Gloves,0,73,Delaware,2,Gold,1,3.6,1,Venmo,Express,Yes,Yes,43,Venmo,30.0,3139,21.0,0,0
98,21,1,Shoes,2,92,Virginia,1,Teal,3,4.8,1,PayPal,Store Pickup,Yes,Yes,37,Cash,365.0,3404,1095.0,2,0
99,20,1,Jeans,1,67,New York,3,Teal,1,2.6,1,Cash,Next Day Air,Yes,Yes,20,Bank Transfer,365.0,1340,365.0,2,0
100,26,1,Hoodie,1,40,Missouri,3,Indigo,2,3.7,1,Cash,Express,Yes,Yes,33,Debit Card,30.0,1320,21.0,1,0
101,62,1,Sunglasses,0,98,South Dakota,1,Maroon,0,2.7,1,PayPal,Express,Yes,Yes,31,Cash,14.0,3038,0.0,0,0
102,27,1,Coat,3,85,North Dakota,3,White,1,4.6,1,Venmo,Express,Yes,Yes,50,Credit Card,30.0,4250,21.0,0,0
103,51,1,Socks,1,67,Oklahoma,0,Violet,3,4.8,1,Credit Card,Next Day Air,Yes,Yes,35,Credit Card,30.0,2345,21.0,1,0
104,54,1,Boots,2,89,West Virginia,0,Red,3,4.0,1,Debit Card,Next Day Air,Yes,Yes,22,Venmo,30.0,1958,21.0,1,0
105,55,1,Sunglasses,0,24,New Hampshire,0,Pink,1,4.4,1,Bank Transfer,2-Day Shipping,Yes,Yes,1,PayPal,30.0,24,30.0,1,0
106,69,1,Backpack,0,96,New York,1,Charcoal,0,3.6,1,Bank Transfer,Next Day Air,Yes,Yes,4,Bank Transfer,365.0,384,0.0,1,0
107,64,1,Jacket,3,35,Minnesota,0,White,2,3.7,1,Cash,Standard,Yes,Yes,31,Credit Card,30.0,1085,60.0,1,0
108,28,1,Sneakers,2,67,Maryland,0,Olive,3,3.1,1,Cash,Next Day Air,Yes,Yes,46,PayPal,14.0,3082,42.0,0,0
109,70,1,Socks,1,79,Montana,0,Purple,1,3.4,1,Bank Transfer,Next Day Air,Yes,Yes,32,Bank Transfer,30.0,2528,21.0,1,0
110,58,1,T-shirt,1,85,Alabama,1,Violet,1,2.6,1,Cash,Next Day Air,Yes,Yes,43,Bank Transfer,14.0,3655,14.0,0,0
111,56,1,Backpack,0,26,New York,1,Black,2,4.0,1,Bank Transfer,Standard,Yes,Yes,26,Venmo,14.0,676,28.0,1,0
112,26,1,Belt,0,75,Massachusetts,0,Purple,2,5.0,1,PayPal,Free Shipping,Yes,Yes,9,Credit Card,365.0,675,730.0,2,0
113,37,1,Gloves,0,65,Florida,1,Red,1,4.3,1,Credit Card,Free Shipping,Yes,Yes,28,PayPal,30.0,1820,21.0,1,0
114,44,1,Hat,0,54,New Jersey,0,Maroon,3,3.1,1,Debit Card,Next Day Air,Yes,Yes,20,PayPal,30.0,1080,21.0,1,0
115,70,1,Coat,3,95,Massachusetts,2,Blue,2,3.7,1,Venmo,Store Pickup,Yes,Yes,9,Cash,7.0,855,14.0,1,0
116,53,1,Skirt,1,94,Wyoming,1,Gray,1,3.8,1,Cash,Standard,Yes,Yes,48,Debit Card,30.0,4512,21.0,0,0
117,55,1,Shoes,2,86,Virginia,2,Blue,1,3.4,1,PayPal,Free Shipping,Yes,Yes,12,Venmo,365.0,1032,365.0,2,0
118,50,1,Sandals,2,32,South Dakota,0,Yellow,2,4.6,1,Bank Transfer,Express,Yes,Yes,29,Cash,14.0,928,28.0,1,0
119,50,1,Sweater,1,45,Kentucky,0,Orange,0,4.8,1,Bank Transfer,2-Day Shipping,Yes,Yes,27,Cash,30.0,1215,21.0,1,0
120,38,1,Coat,3,76,Wyoming,1,Orange,0,4.3,1,Debit Card,Express,Yes,Yes,44,Cash,365.0,3344,0.0,0,0
121,64,1,Hat,0,84,West Virginia,0,Red,2,4.0,1,PayPal,Express,Yes,Yes,32,Bank Transfer,365.0,2688,730.0,2,0
122,19,1,Shorts,1,72,Virginia,1,Olive,3,4.2,1,Cash,Standard,Yes,Yes,11,Cash,14.0,792,42.0,1,0
123,40,1,Backpack,0,40,Washington,0,Brown,1,4.8,1,Credit Card,2-Day Shipping,Yes,Yes,44,Cash,14.0,1760,14.0,1,0
124,57,1,Sweater,1,89,Louisiana,0,Brown,0,3.1,1,Debit Card,Free Shipping,Yes,Yes,46,Cash,7.0,4094,0.0,0,0
125,44,1,Sweater,1,86,Nevada,1,Gray,1,3.1,1,PayPal,Next Day Air,Yes,Yes,50,PayPal,365.0,4300,365.0,0,0
126,49,1,Shorts,1,54,California,1,Indigo,3,3.6,1,Cash,Next Day Air,Yes,Yes,45,Venmo,30.0,2430,21.0,1,0
127,43,1,Shorts,1,36,Mississippi,0,Pink,1,3.9,1,Bank Transfer,Store Pickup,Yes,Yes,48,Cash,30.0,1728,21.0,1,0
128,24,1,Sweater,1,89,Mississippi,1,Gray,3,4.8,1,Venmo,Next Day Air,Yes,Yes,26,Credit Card,7.0,2314,21.0,1,0
129,20,1,Scarf,0,32,California,1,Gold,1,4.7,1,Venmo,Standard,Yes,Yes,21,Credit Card,14.0,672,14.0,1,0
130,24,1,Dress,1,67,Pennsylvania,3,Olive,2,4.2,1,Cash,2-Day Shipping,Yes,Yes,49,PayPal,30.0,3283,21.0,0,0
131,44,1,Scarf,0,39,Kentucky,0,Violet,0,3.7,1,Credit Card,Next Day Air,Yes,Yes,13,PayPal,14.0,507,0.0,1,0
132,28,1,Skirt,1,29,Maine,0,Indigo,2,3.9,1,PayPal,Standard,Yes,Yes,46,Credit Card,7.0,1334,14.0,1,0
133,30,1,Backpack,0,58,New Mexico,1,Orange,0,4.7,1,Bank Transfer,2-Day Shipping,Yes,Yes,42,PayPal,7.0,2436,0.0,1,0
134,52,1,Sweater,1,65,Montana,1,Violet,3,2.5,1,Bank Transfer,Next Day Air,Yes,Yes,25,Venmo,365.0,1625,1095.0,2,0
135,43,1,Hat,0,94,Texas,0,Gray,0,4.9,1,Credit Card,Store Pickup,Yes,Yes,25,Cash,30.0,2350,0.0,1,0
136,43,1,Sandals,2,81,Kansas,1,Purple,0,4.1,1,PayPal,Express,Yes,Yes,12,PayPal,30.0,972,21.0,1,0
137,39,1,Blouse,1,86,South Carolina,1,White,3,3.3,1,Credit Card,Free Shipping,Yes,Yes,4,Debit Card,30.0,344,21.0,1,1
138,68,1,Sneakers,2,43,Colorado,1,Turquoise,1,4.7,1,Cash,Free Shipping,Yes,Yes,38,PayPal,7.0,1634,7.0,1,0
139,68,1,Skirt,1,29,Georgia,1,Maroon,3,4.4,1,Cash,Store Pickup,Yes,Yes,42,Bank Transfer,7.0,1218,21.0,1,0
140,49,1,Coat,3,95,Florida,1,White,0,3.8,1,Debit Card,Store Pickup,Yes,Yes,30,Venmo,365.0,2850,0.0,1,0
141,63,1,Shirt,1,28,North Carolina,0,Yellow,0,3.9,1,Bank Transfer,2-Day Shipping,Yes,Yes,50,Credit Card,7.0,1400,0.0,1,0
142,56,1,Gloves,0,46,Virginia,1,Turquoise,0,4.9,1,PayPal,Free Shipping,Yes,Yes,45,PayPal,7.0,2070,0.0,1,0
143,37,1,Jacket,3,58,Nebraska,0,Violet,0,3.1,1,PayPal,Free Shipping,Yes,Yes,33,Credit Card,14.0,1914,0.0,1,0
144,30,1,Coat,3,48,Missouri,1,Beige,0,2.7,1,Bank Transfer,Store Pickup,Yes,Yes,25,PayPal,30.0,1200,21.0,1,0
145,19,1,Shoes,2,43,New Jersey,1,Silver,0,3.2,1,Credit Card,Express,Yes,Yes,25,Cash,30.0,1075,0.0,1,0
146,24,1,Jewelry,0,95,Missouri,1,Teal,0,4.5,1,Venmo,Standard,Yes,Yes,44,Debit Card,30.0,4180,21.0,0,0
147,52,1,Skirt,1,30,Colorado,2,Black,0,4.0,1,Debit Card,Standard,Yes,Yes,21,Venmo,14.0,630,0.0,1,0
148,63,1,Shoes,2,64,Idaho,1,Purple,2,3.5,1,Bank Transfer,2-Day Shipping,Yes,Yes,31,Bank Transfer,14.0,1984,28.0,1,0
149,37,1,Gloves,0,90,Wyoming,1,Gray,0,2.6,1,PayPal,Store Pickup,Yes,Yes,47,Debit Card,365.0,4230,0.0,0,0
150,38,1,Pants,1,76,Delaware,1,White,2,3.2,1,Venmo,Free Shipping,Yes,Yes,14,PayPal,30.0,1064,60.0,1,0
151,35,1,Boots,2,96,California,0,Cyan,0,4.9,1,Bank Transfer,Standard,Yes,Yes,17,Debit Card,30.0,1632,21.0,1,0
152,28,1,Sunglasses,0,47,North Dakota,0,Turquoise,0,4.5,1,Debit Card,Next Day Air,Yes,Yes,3,Venmo,365.0,141,0.0,1,0
153,30,1,Shirt,1,85,South Carolina,2,Brown,2,4.3,1,PayPal,Express,Yes,Yes,42,Venmo,365.0,3570,730.0,2,0
154,69,1,Hoodie,1,55,North Carolina,1,Maroon,3,3.2,1,Debit Card,Standard,Yes,Yes,22,Debit Card,365.0,1210,1095.0,2,0
155,41,1,Dress,1,98,Oklahoma,1,Charcoal,0,3.6,1,Debit Card,Next Day Air,Yes,Yes,21,Venmo,30.0,2058,21.0,1,0
156,63,1,Socks,1,77,Maine,2,Olive,1,4.3,1,Cash,Free Shipping,Yes,Yes,21,Bank Transfer,30.0,1617,21.0,1,0
157,35,1,Shorts,1,26,Missouri,1,Lavender,0,4.0,1,Venmo,Standard,Yes,Yes,40,Debit Card,365.0,1040,0.0,1,0
158,36,1,Hat,0,68,Vermont,2,Yellow,0,3.0,1,Debit Card,Next Day Air,Yes,Yes,1,Bank Transfer,14.0,68,0.0,1,0
159,25,1,Shirt,1,73,Connecticut,3,Teal,0,4.1,1,Bank Transfer,Standard,Yes,Yes,50,Bank Transfer,30.0,3650,0.0,0,0
160,58,1,Gloves,0,27,New Hampshire,1,Charcoal,0,3.8,1,Debit Card,Store Pickup,Yes,Yes,39,Bank Transfer,30.0,1053,21.0,1,0
161,27,1,Gloves,0,23,Texas,1,Orange,2,4.6,1,Bank Transfer,Free Shipping,Yes,Yes,34,Venmo,30.0,782,60.0,1,0
162,65,1,Backpack,0,49,North Dakota,1,Olive,0,3.0,1,Venmo,Express,Yes,Yes,29,Venmo,14.0,1421,0.0,1,0
163,54,1,Sunglasses,0,74,California,1,Turquoise,2,3.0,1,Credit Card,Store Pickup,Yes,Yes,31,PayPal,30.0,2294,21.0,1,0
164,54,1,Skirt,1,67,Virginia,1,Purple,2,3.4,1,PayPal,Standard,Yes,Yes,8,Debit Card,7.0,536,14.0,1,0
165,59,1,Handbag,0,65,Delaware,2,Purple,1,2.6,1,Debit Card,Free Shipping,Yes,Yes,5,Credit Card,14.0,325,14.0,1,0
166,42,1,Handbag,0,60,Kentucky,2,Yellow,3,2.8,1,Credit Card,Store Pickup,Yes,Yes,7,Cash,30.0,420,90.0,1,0
167,46,1,Sneakers,2,31,Delaware,3,Indigo,0,4.0,1,Cash,Store Pickup,Yes,Yes,30,Cash,30.0,930,0.0,1,0
168,33,1,Gloves,0,27,Arkansas,1,Green,0,4.0,1,Venmo,Express,Yes,Yes,14,Credit Card,30.0,378,21.0,1,0
169,34,1,Shoes,2,80,Louisiana,1,Magenta,2,3.0,1,Bank Transfer,Express,Yes,Yes,5,Cash,14.0,400,28.0,1,0
170,27,1,Jacket,3,30,Nevada,2,Gold,2,3.3,1,Credit Card,Standard,Yes,Yes,3,PayPal,30.0,90,21.0,1,0
171,52,1,Shirt,1,25,Wyoming,1,Maroon,0,2.6,1,Venmo,Store Pickup,Yes,Yes,46,Venmo,30.0,1150,21.0,1,0
172,29,1,Shorts,1,35,Virginia,1,Blue,2,3.6,1,Debit Card,Store Pickup,Yes,Yes,4,Credit Card,7.0,140,14.0,1,0
173,54,1,Jewelry,0,67,Nebraska,1,Violet,2,3.9,1,Bank Transfer,Next Day Air,Yes,Yes,42,Credit Card,30.0,2814,21.0,1,0
174,25,1,Hat,0,46,Hawaii,1,Turquoise,0,3.4,1,PayPal,Standard,Yes,Yes,30,Cash,365.0,1380,0.0,1,0
175,41,1,Shoes,2,35,Vermont,0,Brown,3,3.5,1,Venmo,Express,Yes,Yes,37,Venmo,365.0,1295,1095.0,2,0
176,53,1,Coat,3,86,Oklahoma,0,Violet,0,2.8,1,Debit Card,Next Day Air,Yes,Yes,2,Bank Transfer,365.0,172,0.0,1,0
177,53,1,Backpack,0,81,New Hampshire,0,Black,1,2.7,1,Bank Transfer,Next Day Air,Yes,Yes,30,Credit Card,30.0,2430,21.0,1,0
178,21,1,Hoodie,1,42,Kansas,0,Magenta,0,3.7,1,Debit Card,Next Day Air,Yes,Yes,47,Bank Transfer,30.0,1974,0.0,1,0
